FECHA,PRECIP,EVAP,TMAX,TMIN,clas
19/05/2010,0,NULO,29.5,14.5,No
20/05/2010,0,5.34,30.5,15.8,No
21/05/2010,0,10.36,31.9,16,No
22/05/2010,0,6.42,30.6,17,No
23/05/2010,13.4,2.76,30.5,16.8,Si
24/05/2010,0,2.54,30,15,No
25/05/2010,1.3,1.14,30.4,17,Si
26/05/2010,20,4.58,29,16.7,Si
27/05/2010,0,8.66,26.1,15.4,No
28/05/2010,11.5,7.52,24.2,14,Si
29/05/2010,0,2.68,28.6,14.2,No
30/05/2010,0,7.2,31,14,No
31/05/2010,0,9.24,30.6,15.1,No
01/06/2010,0,NULO,30.8,16.5,No
02/06/2010,0,11.19,29.5,16.7,No
03/06/2010,0,NULO,29,17.6,No
04/06/2010,0.3,NULO,30.5,15.8,Si
05/06/2010,0,NULO,29.5,16.2,No
06/06/2010,0,NULO,28.3,15.1,No
07/06/2010,0,NULO,29.6,15,No
08/06/2010,1.1,7.78,29.5,15.8,Si
09/06/2010,7.5,5.11,29.8,14.5,Si
10/06/2010,0,6.75,29.4,14.5,No
11/06/2010,0.8,7.87,26.9,16,Si
12/06/2010,1.3,NULO,28.3,14.7,Si
13/06/2010,0.8,NULO,25.8,14.5,Si
14/06/2010,1.1,6,27,13.8,Si
15/06/2010,11,4.72,26.9,13.4,Si
16/06/2010,7.1,NULO,22,13.2,Si
17/06/2010,0,NULO,20.9,14,No
18/06/2010,1,NULO,24.3,14,Si
19/06/2010,5.3,NULO,27.5,14,Si
20/06/2010,0,NULO,26.1,13,No
21/06/2010,12.5,NULO,26.6,14.2,Si
22/06/2010,1.5,3.18,27.4,14.1,Si
23/06/2010,20.8,NULO,28.4,13.5,Si
24/06/2010,4.6,NULO,24.5,14.4,Si
25/06/2010,0.3,NULO,25.7,13.6,Si
26/06/2010,0,5.6,27.9,14,No
27/06/2010,0,2.2,28.3,14.5,No
28/06/2010,0,5.08,27.3,14.5,No
29/06/2010,0,9.58,26.2,16,No
30/06/2010,1.5,4.52,25.7,15,Si
01/07/2010,1.5,NULO,25.4,16,Si
02/07/2010,0.2,0.8,27.2,16.2,Si
03/07/2010,0.3,0.2,24.5,15.5,Si
04/07/2010,45.6,4.66,25.5,13.6,Si
05/07/2010,22.7,NULO,25,13.4,Si
06/07/2010,15,NULO,25.6,14.5,Si
07/07/2010,18.2,NULO,23,14.8,Si
08/07/2010,16.2,NULO,21.4,13.6,Si
09/07/2010,26.1,NULO,20,14.4,Si
10/07/2010,10.5,NULO,21,13.6,Si
11/07/2010,0.3,NULO,24.2,13.6,Si
12/07/2010,0.3,NULO,26,12.4,Si
13/07/2010,0,NULO,26.4,14.4,No
14/07/2010,0.3,NULO,24.2,13.4,Si
15/07/2010,0.6,3.31,25.3,13.4,Si
16/07/2010,0,3.73,24.4,13,No
17/07/2010,0,2.94,24.7,13.6,No
18/07/2010,1.3,NULO,25.5,13.6,Si
19/07/2010,0.9,NULO,24.6,14.8,Si
20/07/2010,16.1,NULO,22,14.2,Si
21/07/2010,0,1.61,22.8,14.4,No
22/07/2010,5.8,NULO,19.5,14.1,Si
23/07/2010,18.3,NULO,21.5,14.1,Si
24/07/2010,17.8,0.14,16.9,13.6,Si
25/07/2010,5.3,NULO,21.3,13.8,Si
26/07/2010,0.3,NULO,22,13.8,Si
27/07/2010,0.6,NULO,25.5,14,Si
28/07/2010,6.8,NULO,22.4,14.5,Si
29/07/2010,8.5,NULO,25.1,13.6,Si
30/07/2010,7,NULO,24.3,12.2,Si
31/07/2010,8.6,NULO,24.4,13.2,Si
01/08/2010,0,NULO,24.7,13.5,No
02/08/2010,14,2.59,26.4,15,Si
03/08/2010,0.5,3.8,25.3,13.6,Si
04/08/2010,20.3,9.1,24.4,13.2,Si
05/08/2010,11.3,2.32,25,12.5,Si
06/08/2010,2.2,NULO,25.6,13.6,Si
07/08/2010,7,NULO,25.6,13.5,Si
08/08/2010,11.4,11.02,25.5,14.9,Si
09/08/2010,2.5,2.54,26,14,Si
10/08/2010,8.4,6.96,27.3,14.5,Si
11/08/2010,6.9,4.68,25.7,14.2,Si
12/08/2010,9.2,NULO,23.1,13.4,Si
13/08/2010,0.1,NULO,23.2,13.5,Si
14/08/2010,0,2.95,24.8,15,No
15/08/2010,5,8.27,25.5,13.6,Si
16/08/2010,0.3,3.77,22.4,14.6,Si
17/08/2010,2.9,3.84,22.4,14.4,Si
18/08/2010,14.6,NULO,25,14.8,Si
19/08/2010,10.2,NULO,22.5,14,Si
20/08/2010,0,NULO,25,12.8,No
21/08/2010,4.8,NULO,23.5,14,Si
22/08/2010,0,4.94,22.5,12.5,No
23/08/2010,0,NULO,21.5,11.8,No
24/08/2010,1.7,5.82,26.1,12,Si
25/08/2010,16.3,3.28,20.7,12.5,Si
26/08/2010,0.1,4.1,21.2,13.8,Si
27/08/2010,0,2.12,21.4,12.5,No
28/08/2010,11.3,8.06,26.1,14,Si
29/08/2010,0,2.39,23.5,14.4,No
30/08/2010,0,6.71,23.6,13.4,No
31/08/2010,4.7,NULO,20.1,13.5,Si
01/09/2010,0,4.92,26.1,14,No
02/09/2010,5.6,4.9,26.1,14.2,Si
03/09/2010,0,6.18,23.5,14.5,No
04/09/2010,6,2.45,21.4,13.6,Si
05/09/2010,8.9,NULO,17.4,13.2,Si
06/09/2010,5,NULO,20.2,12.8,Si
07/09/2010,0,6.44,23.3,14.5,No
08/09/2010,0,4.05,24.3,14.6,No
09/09/2010,25.1,7.07,25.1,15,Si
10/09/2010,1.4,NULO,25.2,13.2,Si
11/09/2010,13.6,6.63,25.8,13.6,Si
12/09/2010,0,3.48,23.1,13,No
13/09/2010,0,6.42,24.3,13.6,No
14/09/2010,4,3.85,21.6,13.5,Si
15/09/2010,0,NULO,24,14.5,No
16/09/2010,0,NULO,24.9,14.7,No
17/09/2010,9.4,NULO,20.4,14,Si
18/09/2010,0.3,NULO,21,13.8,Si
19/09/2010,4.7,5.65,23.2,14.3,Si
20/09/2010,0,2.97,25.3,14.5,No
21/09/2010,0,3.93,26.6,14.8,No
22/09/2010,4.3,5.52,26.2,13.8,Si
23/09/2010,5.4,4.48,24.8,14.5,Si
24/09/2010,11.3,NULO,23.4,14.5,Si
25/09/2010,1.8,NULO,20.9,13.8,Si
26/09/2010,0,NULO,23.4,12.2,No
27/09/2010,0,2.71,19.4,14,No
28/09/2010,0,4.14,22.1,13.8,No
29/09/2010,0,NULO,24.4,10.4,No
30/09/2010,0,NULO,23.4,9,No
01/10/2010,0,9.06,22.5,8.5,No
02/10/2010,0,4.72,22.5,8.5,No
03/10/2010,0,5.44,19.2,10.4,No
04/10/2010,0,6.94,21.1,7,No
05/10/2010,0,6.26,22.5,10.5,No
06/10/2010,0,3.46,21.1,11,No
07/10/2010,0,7.62,23.5,10.4,No
08/10/2010,0,NULO,24.2,10.5,No
09/10/2010,0,NULO,25.6,10.5,No
10/10/2010,0.7,3.44,26.7,11.5,Si
11/10/2010,0,7.48,27.3,12.8,No
12/10/2010,0,7.84,26.9,14.5,No
13/10/2010,0,6.83,22.4,12.3,No
14/10/2010,0,2.44,18.2,9.2,No
15/10/2010,0,3.48,22.2,7.2,No
16/10/2010,0,NULO,24.4,7,No
17/10/2010,0,NULO,24.5,10.6,No
